tag,train,validation,test,total
happy,927,392,338,1657
film,746,187,569,1502
energetic,857,233,267,1357
relaxing,763,278,309,1350
emotional,499,357,415,1271
melodic,598,368,247,1213
dark,620,231,351,1202
epic,601,167,214,982
dream,498,207,246,951
love,493,212,204,909
inspiring,561,136,180,877
sad,375,147,227,749
meditative,374,161,207,742
uplifting,449,139,105,693
advertising,363,147,163,673
deep,429,69,137,635
motivational,372,75,188,635
romantic,363,118,146,627
christmas,368,74,181,623
documentary,339,123,150,612
corporate,349,118,142,609
positive,376,64,99,539
summer,261,91,153,505
space,362,93,48,503
background,404,32,60,496
fun,220,187,73,480
soundscape,415,36,29,480
soft,208,128,129,465
calm,267,104,86,457
children,152,119,185,456
adventure,264,78,106,448
upbeat,216,132,96,444
melancholic,228,111,102,441
slow,295,53,89,437
commercial,191,70,167,428
drama,253,90,81,424
movie,207,113,93,413
action,296,55,56,407
ballad,193,58,83,334
dramatic,195,34,88,317
sport,201,38,58,297
trailer,159,71,40,270
party,127,84,55,266
game,169,26,66,261
nature,137,65,57,259
cool,170,34,47,251
powerful,106,47,85,238
hopeful,137,36,43,216
retro,139,41,33,213
funny,109,23,71,203
groovy,78,74,42,194
holiday,98,35,43,176
travel,89,49,33,171
heavy,98,33,25,156
sexy,59,37,26,122
fast,62,26,31,119
